userId,fieldId,fieldName,fieldVaule
61bf50e8b05d44f2b8c0a4f7947f08830616cb2bf4ca5a6eaf11661881175d6b,6,general,0
61bf50e8b05d44f2b8c0a4f7947f08830616cb2bf4ca5a6eaf11661881175d6b,7,gender,
61bf50e8b05d44f2b8c0a4f7947f08830616cb2bf4ca5a6eaf11661881175d6b,8,age,
61bf50e8b05d44f2b8c0a4f7947f08830616cb2bf4ca5a6eaf11661881175d6b,9,education,
61bf50e8b05d44f2b8c0a4f7947f08830616cb2bf4ca5a6eaf11661881175d6b,10,bfi2,0
0cee291ea617ec4828e27e9b8f7257cf51ec470f2e3318816dd3d45c56d6b74a,1,STORAGE,0
0cee291ea617ec4828e27e9b8f7257cf51ec470f2e3318816dd3d45c56d6b74a,2,LOCATION,0
0cee291ea617ec4828e27e9b8f7257cf51ec470f2e3318816dd3d45c56d6b74a,3,CALL_LOG,0
0cee291ea617ec4828e27e9b8f7257cf51ec470f2e3318816dd3d45c56d6b74a,4,APP_USAGE,0
0cee291ea617ec4828e27e9b8f7257cf51ec470f2e3318816dd3d45c56d6b74a,5,NOTIFICATION,0
0cee291ea617ec4828e27e9b8f7257cf51ec470f2e3318816dd3d45c56d6b74a,6,general,1
0cee291ea617ec4828e27e9b8f7257cf51ec470f2e3318816dd3d45c56d6b74a,7,gender,1
0cee291ea617ec4828e27e9b8f7257cf51ec470f2e3318816dd3d45c56d6b74a,8,age,18
0cee291ea617ec4828e27e9b8f7257cf51ec470f2e3318816dd3d45c56d6b74a,9,education,1
0cee291ea617ec4828e27e9b8f7257cf51ec470f2e3318816dd3d45c56d6b74a,10,bfi2,1
fa586a31e76e5c5767791275c040921cc15f6a2707c2e0b6af0bc5bf5668870a,1,STORAGE,0
fa586a31e76e5c5767791275c040921cc15f6a2707c2e0b6af0bc5bf5668870a,2,LOCATION,0
fa586a31e76e5c5767791275c040921cc15f6a2707c2e0b6af0bc5bf5668870a,3,CALL_LOG,0
fa586a31e76e5c5767791275c040921cc15f6a2707c2e0b6af0bc5bf5668870a,4,APP_USAGE,0
fa586a31e76e5c5767791275c040921cc15f6a2707c2e0b6af0bc5bf5668870a,5,NOTIFICATION,0
fa586a31e76e5c5767791275c040921cc15f6a2707c2e0b6af0bc5bf5668870a,6,general,0
fa586a31e76e5c5767791275c040921cc15f6a2707c2e0b6af0bc5bf5668870a,7,gender,
fa586a31e76e5c5767791275c040921cc15f6a2707c2e0b6af0bc5bf5668870a,8,age,
fa586a31e76e5c5767791275c040921cc15f6a2707c2e0b6af0bc5bf5668870a,9,education,
